Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Gls,Ast,Sh,SoT,xG,xAG,Cmp,Att,PrgP,Tkl,Int,90s,G+A,Sh/90,Cmp%,KP,SCA,PrgC,Carries,CrdY,CrdR
Coba da Costa,es ESP,"MF,FW",Getafe,es La Liga,22.0,19,12,1006,1,1,23,8,1.1,1.4,195,303,16,29,8,11.2,2,2.06,64.4,9,37,46,261,4,0
Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,31.0,25,25,2006,0,1,5,1,0.1,0.6,942,1201,109,42,27,22.3,1,0.22,78.4,10,31,21,813,0,0
David Costa,pt POR,"MF,FW",Lens,fr Ligue 1,23.0,11,3,352,0,0,9,2,1.2,0.4,128,155,24,2,1,3.9,0,2.3,82.6,6,8,14,118,0,1
Logan Costa,cv CPV,DF,Villarreal,es La Liga,23.0,32,28,2587,2,1,12,5,0.7,0.6,1354,1544,116,38,21,28.7,3,0.42,87.7,4,22,25,1037,3,0
Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,23.0,1,1,90,0,0,0,0,0.0,0.5,47,56,4,2,2,1.0,0,0.0,83.9,1,1,1,37,0,0
Samu Costa,pt POR,MF,Mallorca,es La Liga,23.0,32,31,2649,0,2,30,8,1.8,1.2,1164,1442,116,90,32,29.4,2,1.02,80.7,15,56,24,1029,10,1
Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,25.0,2,2,180,0,0,0,0,0.0,0.0,54,68,0,0,0,2.0,0,0.0,79.4,0,1,0,48,0,0
Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,31.0,22,11,1067,0,0,7,2,0.3,0.7,470,598,39,22,8,11.9,0,0.59,78.6,8,18,26,298,5,0
Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,28.0,38,30,2667,1,0,9,3,0.8,0.9,775,955,93,48,18,29.6,1,0.3,81.2,12,46,21,623,3,0
Lasso Coulibaly,ci CIV,"FW,MF",Auxerre,fr Ligue 1,21.0,3,0,45,1,0,3,2,0.3,0.1,12,13,0,1,0,0.5,1,6.0,92.3,1,1,0,12,0,0
Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,20.0,1,0,8,0,0,1,0,0.1,0.0,3,5,0,1,0,0.1,0,11.25,60.0,0,0,0,4,0,0
Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,20.0,7,5,438,0,0,4,0,0.2,0.1,281,317,16,4,5,4.9,0,0.82,88.6,1,8,1,226,1,0
Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,fr Ligue 1,23.0,25,17,1485,3,0,30,13,3.5,1.3,292,372,20,32,11,16.5,3,1.82,78.5,18,45,48,328,4,2
Woyo Coulibaly,ml MLI,DF,Leicester City,eng Premier League,25.0,4,1,109,0,0,2,1,0.0,0.0,48,57,3,6,5,1.2,0,1.65,84.2,0,0,4,48,1,0
Woyo Coulibaly,ml MLI,DF,Parma,it Serie A,25.0,14,12,1084,0,1,3,0,0.1,0.9,514,593,41,13,8,12.0,1,0.25,86.7,8,19,36,404,1,1
Marius Courcoul,fr FRA,"MF,DF",Angers,fr Ligue 1,17.0,8,3,309,0,0,3,1,0.1,0.0,133,155,7,5,5,3.4,0,0.87,85.8,1,3,5,90,0,0
Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32.0,30,30,2700,0,0,0,0,0.0,0.1,848,1020,0,0,1,30.0,0,0.0,83.1,1,4,0,659,1,0
Yan Couto,br BRA,"DF,FW",Dortmund,de Bundesliga,22.0,21,8,895,0,0,6,2,0.3,0.9,586,723,68,24,10,9.9,0,0.6,81.1,12,29,46,483,5,0
Nicolas Cozza,fr FRA,"DF,MF",Nantes,fr Ligue 1,25.0,27,23,2051,1,0,17,6,1.4,1.4,608,782,64,59,25,22.8,1,0.75,77.7,7,20,25,400,3,1
Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,34.0,18,10,824,0,0,5,0,0.2,1.3,504,610,36,11,8,9.2,0,0.55,82.6,9,15,6,291,3,0
Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,21.0,31,29,2592,3,1,32,13,3.3,1.7,1287,1551,69,35,28,28.8,4,1.11,83.0,5,24,8,1033,5,0
Bryan Cristante,it ITA,MF,Roma,it Serie A,29.0,30,23,2045,4,2,30,7,2.1,1.4,1067,1296,145,48,19,22.7,6,1.32,82.3,18,51,25,833,8,0
Domen Črnigoj,si SVN,MF,Venezia,it Serie A,28.0,8,1,136,0,0,1,0,0.1,0.0,25,49,4,4,4,1.5,0,0.66,51.0,0,2,4,36,0,0
Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,32.0,25,19,1492,0,0,4,0,0.1,0.0,525,673,53,26,9,16.6,0,0.24,78.0,2,14,9,337,4,0
Juan Cruz,es ESP,"FW,MF",Leganés,es La Liga,24.0,34,26,2257,5,4,33,14,2.7,4.1,488,716,66,32,13,25.1,9,1.32,68.2,24,51,59,543,2,0
Juan Cuadrado,co COL,"DF,MF",Atalanta,it Serie A,36.0,23,7,832,0,2,16,4,0.9,2.0,476,601,64,19,7,9.2,2,1.73,79.2,19,37,41,462,3,0
Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,17.0,35,29,2618,0,3,8,0,0.8,1.6,2434,2604,191,34,16,29.1,3,0.28,93.5,9,35,26,1823,3,0
Cucho,co COL,FW,Betis,es La Liga,25.0,15,14,1139,5,1,43,11,3.8,1.5,223,310,34,15,7,12.7,6,3.4,71.9,14,46,27,250,0,0
Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,26.0,36,33,2988,5,1,24,11,2.8,2.1,1680,1916,118,67,28,33.2,6,0.72,87.7,19,51,35,944,10,1
Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,24.0,8,4,351,0,0,1,0,0.0,0.0,145,173,10,6,2,3.9,0,0.26,83.8,0,1,0,89,0,0
Matheus Cunha,br BRA,"MF,FW",Wolves,eng Premier League,25.0,33,29,2597,15,6,110,44,8.6,7.7,811,1133,144,38,17,28.9,21,3.81,71.6,56,132,112,904,4,0
Patrick Cutrone,it ITA,FW,Como,it Serie A,26.0,33,23,2047,7,4,69,26,7.1,2.1,336,478,31,16,5,22.7,11,3.03,70.3,19,49,53,445,1,0
Tomáš Čvančara,cz CZE,FW,Gladbach,de Bundesliga,23.0,28,7,831,2,0,24,9,3.8,0.9,171,239,23,4,5,9.2,2,2.6,71.5,6,15,15,185,5,1
Wylan Cyprien,fr FRA,MF,Parma,it Serie A,29.0,2,0,28,0,0,1,0,0.2,0.0,14,21,2,0,1,0.3,0,3.21,66.7,0,0,1,11,0,0
Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,35.0,20,12,1095,0,1,9,4,0.5,0.4,566,652,34,28,15,12.2,1,0.74,86.8,5,8,10,443,2,1
Lucas Da Cunha,fr FRA,MF,Como,it Serie A,23.0,36,30,2613,3,2,37,14,2.0,3.8,1439,1702,154,45,17,29.0,5,1.27,84.5,55,110,63,1200,4,0
Samuel Dahl,se SWE,"DF,MF",Roma,it Serie A,24.0,2,0,43,0,0,0,0,0.0,0.0,24,28,2,2,0,0.5,0,0.0,85.7,0,1,1,21,0,0
Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26.0,19,19,1710,0,0,0,0,0.0,0.0,528,761,3,1,0,19.0,0,0.0,69.4,0,2,0,479,0,0
Thomas Dähne,de GER,GK,Holstein Kiel,de Bundesliga,30.0,9,9,810,0,0,0,0,0.0,0.0,304,395,0,0,0,9.0,0,0.0,77.0,0,1,0,234,0,0
Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,28.0,9,3,364,1,1,7,2,0.5,0.7,191,225,17,9,2,4.0,2,1.73,84.9,8,13,1,160,2,0
Patson Daka,zm ZAM,"FW,MF",Leicester City,eng Premier League,25.0,23,6,736,1,0,15,4,1.3,0.1,106,147,8,19,1,8.2,1,1.83,72.1,1,10,11,141,0,0
Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,22.0,7,6,432,0,0,1,0,0.1,0.2,311,339,12,6,9,4.8,0,0.21,91.7,2,4,1,239,0,1
Thijs Dallinga,nl NED,FW,Bologna,it Serie A,23.0,31,11,1154,3,2,31,11,4.3,0.6,210,293,17,10,1,12.8,5,2.42,71.7,12,27,9,243,1,0
Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,25.0,33,31,2814,0,3,25,5,2.0,2.0,1347,1673,103,68,37,31.3,3,0.8,80.5,26,74,62,1126,5,0
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,eng Premier League,24.0,38,34,2911,2,10,35,7,2.8,8.4,1107,1529,234,83,27,32.3,12,1.08,72.4,63,120,73,1076,2,0
Maat Daniel Caprini,it ITA,FW,Fiorentina,it Serie A,18.0,1,0,7,0,0,0,0,0.0,0.0,5,6,1,0,0,0.1,0,0.0,83.3,0,0,0,5,0,0
Flavius Daniliuc,at AUT,DF,Hellas Verona,it Serie A,23.0,18,9,1004,0,0,3,1,0.1,0.1,375,449,38,26,7,11.2,0,0.27,83.5,2,11,8,285,0,0
Danilo,br BRA,"MF,FW",Nott'ham Forest,eng Premier League,23.0,8,5,275,0,0,0,0,0.0,0.0,94,121,11,8,4,3.1,0,0.0,77.7,0,7,2,54,0,0
Danilo,br BRA,DF,Juventus,it Serie A,33.0,12,6,581,0,1,1,0,0.1,0.4,519,573,45,10,9,6.5,1,0.15,90.6,3,10,16,381,2,0
Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,27.0,3,3,200,2,0,6,3,0.8,0.0,23,30,1,2,0,2.2,2,2.7,76.7,1,2,4,25,1,0
Arnaut Danjuma,nl NED,"FW,MF",Girona,es La Liga,27.0,25,15,1335,2,0,30,14,3.6,1.7,318,438,41,8,2,14.8,2,2.02,72.6,22,40,91,394,2,0
Jayden Danns,eng ENG,MF,Liverpool,eng Premier League,18.0,1,0,11,0,0,0,0,0.0,0.0,1,1,0,0,0,0.1,0,0.0,100.0,0,0,0,1,0,0
Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,20.0,22,16,1460,0,0,17,3,1.5,2.2,585,718,95,49,20,16.2,0,1.05,81.5,25,54,19,570,1,0
Kevin Danso,at AUT,DF,Tottenham,eng Premier League,25.0,10,9,842,0,0,7,3,0.4,0.1,480,555,19,7,6,9.4,0,0.75,86.5,2,9,11,448,0,0
Kevin Danso,at AUT,DF,Lens,fr Ligue 1,25.0,12,12,1080,0,0,10,2,0.5,1.0,659,770,52,19,20,12.0,0,0.83,85.6,6,12,9,489,3,0
Dante,br BRA,DF,Nice,fr Ligue 1,40.0,25,21,1964,0,0,9,2,0.5,0.2,1267,1432,96,32,34,21.8,0,0.41,88.5,4,21,18,949,5,1
Pape Daouda Diongue,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,,9,1,78,1,0,5,2,1.0,0.2,47,57,2,2,3,0.9,1,5.77,82.5,1,1,2,40,0,0
Mohamed Daramy,dk DEN,FW,Reims,fr Ligue 1,22.0,2,0,16,0,0,1,0,0.0,0.1,4,4,0,0,0,0.2,0,5.63,100.0,1,2,3,5,0,0
Bence Dárdai,hu HUN,MF,Wolfsburg,de Bundesliga,18.0,21,16,1304,1,1,11,1,1.0,1.0,357,445,39,24,12,14.5,2,0.76,80.2,11,24,5,287,0,0
Sergi Darder,es ESP,"MF,FW",Mallorca,es La Liga,30.0,38,34,2744,2,6,36,9,2.1,3.7,981,1302,142,40,16,30.5,8,1.18,75.3,54,96,37,911,4,0
Matteo Darmian,it ITA,DF,Inter,it Serie A,34.0,29,20,1781,3,2,11,3,1.9,1.5,844,1007,45,28,10,19.8,5,0.56,83.8,15,34,14,593,3,0
Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,25.0,14,3,412,1,1,8,4,2.7,0.7,93,144,11,4,0,4.6,2,1.75,64.6,6,10,8,116,0,0
Juan David Cabal,co COL,DF,Juventus,it Serie A,23.0,7,6,460,0,0,5,0,0.1,0.0,307,350,17,10,2,5.1,0,0.98,87.7,1,3,14,242,0,0
Jonathan David,ca CAN,FW,Lille,fr Ligue 1,24.0,32,28,2554,16,5,66,28,16.2,4.4,563,686,65,24,7,28.4,21,2.33,82.1,36,74,40,518,4,0
Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,23.0,19,17,1560,1,2,17,3,1.2,1.6,1141,1272,120,30,13,17.3,3,0.98,89.7,27,61,81,895,0,0
Ben Davies,wls WAL,DF,Tottenham,eng Premier League,31.0,17,14,1331,0,0,5,1,0.3,0.2,896,1023,52,17,12,14.8,0,0.34,87.6,2,8,14,664,5,0
Keinan Davis,eng ENG,FW,Udinese,it Serie A,26.0,23,10,1066,2,1,29,11,2.9,2.1,208,275,22,9,1,11.8,3,2.45,75.6,20,35,26,231,2,0
Leif Davis,eng ENG,DF,Ipswich Town,eng Premier League,24.0,33,32,2743,1,2,16,2,1.0,4.9,919,1284,59,46,25,30.5,3,0.52,71.6,61,93,52,708,5,1
Zuriko Davitashvili,ge GEO,"FW,MF",Saint-Étienne,fr Ligue 1,23.0,33,32,2778,9,8,68,24,8.1,4.7,737,938,73,22,14,30.9,17,2.2,78.6,50,115,95,764,3,0
Paweł Dawidowicz,pl POL,"DF,MF",Hellas Verona,it Serie A,29.0,26,24,1845,0,0,4,0,0.3,0.0,653,797,39,45,20,20.5,0,0.2,81.9,0,8,10,457,7,1
Craig Dawson,eng ENG,DF,Wolves,eng Premier League,34.0,15,10,971,0,0,5,1,0.5,0.0,484,559,20,15,9,10.8,0,0.46,86.6,2,7,6,390,2,0
Kevin De Bruyne,be BEL,"MF,FW",Manchester City,eng Premier League,33.0,28,19,1702,4,7,57,15,5.1,8.0,908,1196,157,17,7,18.9,11,3.01,75.9,57,113,51,812,2,0
Bobby De Cordova-Reid,jm JAM,FW,Leicester City,eng Premier League,31.0,23,9,744,1,2,7,3,0.8,1.2,145,206,15,9,0,8.3,3,0.85,70.4,6,13,14,174,2,0
Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,23.0,36,25,2070,7,7,48,20,7.3,6.0,754,995,140,13,3,23.0,14,2.09,75.8,39,88,108,832,1,0
Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,30.0,34,23,2106,3,5,19,4,1.3,5.6,1449,1773,231,33,6,23.4,8,0.81,81.7,42,90,85,1373,7,0
Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,23.0,2,2,180,0,0,0,0,0.0,0.0,31,58,0,0,0,2.0,0,0.0,53.4,0,0,0,35,0,0
Mattia De Sciglio,it ITA,DF,Empoli,it Serie A,31.0,16,7,769,1,0,5,3,0.6,0.2,233,299,18,18,8,8.5,1,0.59,77.9,3,8,4,161,0,0
Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,36.0,18,13,1060,1,0,9,4,0.8,0.3,446,564,46,11,10,11.8,1,0.76,79.1,5,14,4,313,1,0
Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,26.0,5,2,192,0,0,1,0,0.1,0.0,105,116,9,6,4,2.1,0,0.47,90.5,0,0,1,83,0,0
Koni De Winter,be BEL,DF,Genoa,it Serie A,22.0,25,23,2135,3,0,13,7,2.1,0.2,1116,1289,56,33,25,23.7,3,0.55,86.6,3,15,10,807,6,0
Amar Dedić,ba BIH,DF,Marseille,fr Ligue 1,21.0,10,2,314,0,1,6,2,0.9,0.9,189,224,16,5,3,3.5,1,1.72,84.4,4,14,21,180,1,0
Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,28.0,29,16,1432,2,1,18,5,1.7,0.6,384,523,40,31,13,15.9,3,1.13,73.4,6,26,11,332,6,0
Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,28.0,26,14,1259,6,4,17,8,4.7,3.4,480,688,61,31,6,14.0,10,1.22,69.8,37,67,29,438,0,0
Enrico Del Prato,it ITA,DF,Parma,it Serie A,24.0,34,32,2947,4,0,12,5,2.0,1.2,1288,1534,81,33,19,32.7,4,0.37,84.0,14,32,8,1006,8,0
Thomas Delaine,fr FRA,DF,Strasbourg,fr Ligue 1,32.0,2,0,9,0,0,0,0,0.0,0.0,0,4,0,1,1,0.1,0,0.0,0.0,0,0,0,2,0,0
Liam Delap,eng ENG,FW,Ipswich Town,eng Premier League,21.0,37,32,2593,12,2,66,29,9.3,1.9,219,357,30,11,2,28.8,14,2.29,61.3,21,62,61,445,12,0
Fisayo Dele-Bashiru,ng NGA,"MF,FW",Lazio,it Serie A,23.0,20,12,947,3,1,16,5,1.1,0.8,315,359,26,10,4,10.5,4,1.52,87.7,10,24,23,257,0,0
Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,32.0,9,8,607,0,0,17,6,1.3,0.9,54,110,6,4,0,6.7,0,2.52,49.1,7,12,4,90,1,0
Olivier Deman,be BEL,DF,Werder Bremen,de Bundesliga,24.0,9,0,67,0,0,0,0,0.0,0.1,38,58,4,6,3,0.7,0,0.0,65.5,1,1,2,31,1,0
Ali Dembélé,fr FRA,DF,Torino,it Serie A,20.0,15,4,388,1,0,5,2,0.4,0.1,127,168,12,9,1,4.3,1,1.16,75.6,3,7,8,101,4,1
Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,27.0,29,20,1730,21,6,96,49,16.6,8.2,844,1068,137,11,9,19.2,27,4.99,79.0,63,110,127,878,1,0
Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,26.0,34,20,1855,15,1,64,27,14.1,1.9,258,367,31,12,3,20.6,16,3.11,70.3,18,47,20,305,2,0
Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,22.0,31,29,2586,0,0,20,6,2.0,0.8,1092,1278,79,39,21,28.7,0,0.7,85.4,6,22,12,737,3,0
Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,28.0,1,1,90,0,0,0,0,0.0,0.0,27,30,0,0,0,1.0,0,0.0,90.0,0,0,0,25,0,0
Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,30.0,18,18,1620,0,0,0,0,0.0,0.0,411,522,0,0,0,18.0,0,0.0,78.7,1,3,0,296,2,0
Justin Devenny,nir NIR,MF,Crystal Palace,eng Premier League,20.0,23,4,507,1,1,10,6,0.8,0.6,148,205,21,17,0,5.6,2,1.78,72.2,7,15,5,134,1,0
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,eng Premier League,25.0,13,2,264,0,1,1,0,0.2,1.1,127,152,14,8,2,2.9,1,0.34,83.6,3,5,5,95,0,0
Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,27.0,33,33,2970,0,0,0,0,0.0,0.5,761,994,0,0,1,33.0,0,0.0,76.6,1,2,0,672,0,0
Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,30.0,37,37,3330,3,2,21,6,2.8,3.9,1870,2236,224,66,31,37.0,5,0.57,83.6,37,80,50,1202,6,0
Boulaye Dia,sn SEN,"MF,FW",Lazio,it Serie A,27.0,35,27,2177,9,3,39,19,7.1,4.2,494,591,51,22,6,24.2,12,1.61,83.6,26,55,23,452,2,0
Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,27.0,13,7,653,2,0,11,4,1.5,0.0,282,336,14,8,11,7.3,2,1.52,83.9,1,4,5,222,0,0
Mamadou Diakhon,fr FRA,"FW,MF",Reims,fr Ligue 1,18.0,28,5,858,2,1,18,8,1.0,1.1,198,257,17,12,4,9.5,3,1.89,77.0,13,37,61,288,2,0
Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,23.0,31,31,2766,4,1,16,7,2.3,0.2,2086,2239,90,31,27,30.7,5,0.52,93.2,3,19,15,1606,8,1
Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,20.0,26,20,1628,4,1,26,9,5.5,1.1,291,354,44,20,3,18.1,5,1.44,82.2,11,39,24,319,6,0
Amad Diallo,ci CIV,"MF,FW",Manchester Utd,eng Premier League,22.0,26,20,1901,8,6,47,17,4.7,4.9,795,949,60,38,11,21.1,14,2.23,83.8,49,97,109,782,5,0
Assane Diao,sn SEN,"FW,MF",Como,it Serie A,18.0,15,14,1252,8,1,28,13,4.0,0.4,241,304,36,25,3,13.9,9,2.01,79.3,8,31,50,376,2,0
Assane Diao,sn SEN,FW,Betis,es La Liga,18.0,10,2,277,1,2,7,1,0.8,1.5,49,66,1,5,0,3.1,3,2.27,74.2,8,7,9,63,0,0
Habib Diarra,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,20.0,30,27,2352,4,5,25,10,3.3,4.5,812,978,116,22,13,26.1,9,0.96,83.0,27,57,61,709,6,0
Moussa Diarra,ml MLI,DF,Alavés,es La Liga,23.0,26,20,1866,0,0,1,0,0.0,0.1,670,835,70,40,21,20.7,0,0.05,80.2,3,18,12,499,6,0
Rúben Dias,pt POR,DF,Manchester City,eng Premier League,27.0,27,25,2271,0,0,21,7,1.5,0.3,2167,2317,160,17,20,25.2,0,0.83,93.5,5,26,43,1775,4,0
Krépin Diatta,sn SEN,"DF,FW",Monaco,fr Ligue 1,25.0,19,3,508,0,0,2,1,0.2,0.8,240,314,21,18,9,5.6,0,0.35,76.4,4,10,17,205,3,0
Kandet Diawara,gn GUI,FW,Le Havre,fr Ligue 1,24.0,1,0,4,0,0,0,0,0.0,0.0,1,2,0,0,0,0.0,0,0.0,50.0,0,0,0,2,0,0
Mahamadou Diawara,fr FRA,MF,Le Havre,fr Ligue 1,19.0,15,6,582,0,1,7,1,0.4,0.4,193,233,16,20,13,6.5,1,1.08,82.8,7,14,9,180,0,0
Mahamadou Diawara,fr FRA,MF,Lyon,fr Ligue 1,19.0,2,0,16,0,0,0,0,0.0,0.0,6,7,1,1,0,0.2,0,0.0,85.7,0,0,1,2,0,0
Brahim Díaz,ma MAR,"FW,MF",Real Madrid,es La Liga,24.0,31,16,1385,4,2,28,15,5.3,3.3,573,660,74,25,4,15.4,6,1.82,86.8,23,56,39,541,0,0
Daniel Díaz,es ESP,MF,Real Sociedad,es La Liga,18.0,1,0,10,0,0,0,0,0.0,0.0,1,3,0,1,0,0.1,0,0.0,33.3,0,0,0,1,0,0
Luis Díaz,co COL,FW,Liverpool,eng Premier League,27.0,36,28,2399,13,5,71,30,12.0,5.0,736,874,110,39,7,26.7,18,2.66,84.2,56,117,108,780,2,0
Pedro Díaz,es ESP,MF,Rayo Vallecano,es La Liga,26.0,26,12,1211,3,0,31,7,2.4,2.1,446,566,62,23,7,13.5,3,2.3,78.8,26,50,27,390,2,0
Tyler Dibling,eng ENG,"FW,MF",Southampton,eng Premier League,18.0,33,20,1874,2,0,28,9,2.5,1.5,504,620,64,34,8,20.8,2,1.34,81.3,20,56,69,558,6,0
Diego,es ESP,FW,Leganés,es La Liga,24.0,28,13,1195,3,0,29,9,3.8,0.2,121,192,16,1,2,13.3,3,2.18,63.0,6,12,9,192,2,0
Justin Diehl,de GER,"FW,DF",Stuttgart,de Bundesliga,19.0,6,0,104,1,0,7,1,1.0,0.1,42,59,5,1,0,1.2,1,6.06,71.2,1,4,5,55,0,0
Bamba Dieng,sn SEN,FW,Angers,fr Ligue 1,24.0,18,5,532,3,0,13,6,3.1,0.0,80,103,7,4,0,5.9,3,2.2,77.7,1,6,6,96,1,0
Eric Dier,eng ENG,DF,Bayern Munich,de Bundesliga,30.0,21,16,1463,2,1,9,5,1.1,0.1,1324,1412,73,19,20,16.3,3,0.55,93.8,3,13,12,944,1,0
Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,31.0,32,28,2351,0,4,13,3,0.8,4.7,956,1277,57,65,25,26.1,4,0.5,74.9,36,66,23,683,4,0
Kembo Diliwidi,fr FRA,DF,Lens,fr Ligue 1,18.0,1,0,4,0,0,0,0,0.0,0.0,2,3,1,0,0,0.0,0,0.0,66.7,0,0,0,1,0,0
Federico Dimarco,it ITA,"DF,FW",Inter,it Serie A,26.0,32,28,2140,4,7,55,20,3.3,6.1,973,1275,83,25,14,23.8,11,2.31,76.3,48,96,47,789,3,0
Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,30.0,4,4,360,0,0,0,0,0.0,0.0,68,133,0,0,0,4.0,0,0.0,51.1,0,0,0,68,1,0
Junior Dina Ebimbe,fr FRA,"MF,FW",Eint Frankfurt,de Bundesliga,23.0,7,3,293,0,1,8,0,0.9,0.9,71,112,3,3,7,3.3,1,2.46,63.4,3,6,5,82,0,0
Eren Dinkçi,de GER,"MF,FW",Freiburg,de Bundesliga,22.0,23,13,1196,0,3,14,3,1.1,2.2,297,394,35,21,7,13.3,3,1.05,75.4,23,43,33,269,1,0
Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,23.0,23,22,1945,3,2,9,4,1.1,0.6,813,961,72,39,30,21.6,5,0.42,84.6,4,21,8,698,6,0
Yan Diomandé,ci CIV,"MF,FW",Leganés,es La Liga,17.0,10,6,545,2,1,11,3,1.4,0.9,166,200,16,14,8,6.1,3,1.82,83.0,14,37,37,200,1,0
Lois Diony,fr FRA,FW,Angers,fr Ligue 1,31.0,1,0,21,0,0,0,0,0.0,0.0,1,4,0,0,0,0.2,0,0.0,25.0,0,0,0,4,0,0
Issa Diop,fr FRA,DF,Fulham,eng Premier League,27.0,21,15,1339,0,0,5,2,0.5,0.1,663,758,25,26,9,14.9,0,0.34,87.5,3,6,6,533,2,0
Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,19.0,2,0,4,0,0,0,0,0.0,0.0,2,2,0,1,0,0.0,0,0.0,100.0,0,0,0,1,0,0
Sofiane Diop,fr FRA,"MF,FW",Nice,fr Ligue 1,24.0,28,8,1064,6,4,22,11,6.0,2.9,436,565,64,23,17,11.8,10,1.86,77.2,24,47,26,399,3,0
Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,21.0,34,27,2225,1,2,40,5,2.9,2.8,849,1068,116,37,15,24.7,3,1.62,79.5,33,85,82,751,2,0
Yehvann Diouf,sn SEN,GK,Reims,fr Ligue 1,24.0,34,34,3060,0,0,1,1,0.1,0.0,848,1219,1,2,1,34.0,0,0.03,69.6,0,7,0,684,1,0
Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,26.0,17,7,663,0,0,3,2,0.1,0.2,320,357,33,15,12,7.4,0,0.41,89.6,2,13,1,276,1,0
Axel Disasi,fr FRA,DF,Aston Villa,eng Premier League,26.0,7,5,490,0,0,2,0,0.1,0.4,243,280,16,8,5,5.4,0,0.37,86.8,3,9,10,207,2,0
Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,26.0,6,4,364,1,0,2,1,0.3,0.1,266,293,16,7,2,4.0,1,0.49,90.8,2,2,6,196,1,0
Roman Dixon,eng ENG,DF,Everton,eng Premier League,19.0,1,1,90,0,0,0,0,0.0,0.0,11,19,0,5,1,1.0,0,0.0,57.9,0,0,0,16,0,0
Álvaro djaló,es ESP,FW,Athletic Club,es La Liga,24.0,17,7,659,1,0,15,3,0.8,0.9,85,128,13,8,1,7.3,1,2.05,66.4,4,12,22,151,2,0
Djené,tg TOG,"DF,MF",Getafe,es La Liga,32.0,31,31,2548,0,0,6,0,0.3,0.6,694,918,74,25,21,28.3,0,0.21,75.6,9,21,18,514,10,1
Nasser Djiga,bf BFA,DF,Wolves,eng Premier League,21.0,5,1,66,0,0,0,0,0.0,0.0,40,48,3,0,2,0.7,0,0.0,83.3,0,0,0,32,0,0
Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,31.0,34,32,2640,1,2,20,4,2.7,1.3,1483,1691,109,53,40,29.3,3,0.68,87.7,11,30,32,1097,6,0
Marko Dmitrović,rs SRB,GK,Leganés,es La Liga,32.0,32,32,2880,0,0,0,0,0.0,0.2,470,1052,1,1,0,32.0,0,0.0,44.7,1,6,0,542,0,0
